Title,Director,Cast,Year,Language,movie_info
Devi Putrudu,Kodi Ramakrishna,"Venkatesh, Soundarya, Anjala Zaveri",2001,Telugu,"Movie Title: Devi Putrudu. Directed by: Kodi Ramakrishna. Starring: Venkatesh, Soundarya, Anjala Zaveri. Released in: 2001."
Pistha,Sabha Ayyappan,"Vishal, Shriya Saran",2009,Telugu,"Movie Title: Pistha. Directed by: Sabha Ayyappan. Starring: Vishal, Shriya Saran. Released in: 2009."
Ganesh,M. Saravanan,"Ram, Kajal Aggarwal",2009,Telugu,"Movie Title: Ganesh. Directed by: M. Saravanan. Starring: Ram, Kajal Aggarwal. Released in: 2009."
Sankham,Siva,"Gopichand, Trisha Krishnan, Sathyaraj",2009,Telugu,"Movie Title: Sankham. Directed by: Siva. Starring: Gopichand, Trisha Krishnan, Sathyaraj. Released in: 2009."
Kavya's Diary,Karuna Prakash,"Charmy Kaur, Manjula Ghattamaneni",2009,Telugu,"Movie Title: Kavya's Diary. Directed by: Karuna Prakash. Starring: Charmy Kaur, Manjula Ghattamaneni. Released in: 2009."
Boni,Raj Pippalla,"Sumanth, Kriti Kharbanda, Trinetrudu",2009,Telugu,"Movie Title: Boni. Directed by: Raj Pippalla. Starring: Sumanth, Kriti Kharbanda, Trinetrudu. Released in: 2009."
Naa Style Veru,G. Ram Prasad,"Rajasekhar, Bhumika Chawla",2009,Telugu,"Movie Title: Naa Style Veru. Directed by: G. Ram Prasad. Starring: Rajasekhar, Bhumika Chawla. Released in: 2009."
Raju Maharaju,Durga Shankaranadh,"Mohan Babu, Sharwanand, Ramya Krishna",2009,Telugu,"Movie Title: Raju Maharaju. Directed by: Durga Shankaranadh. Starring: Mohan Babu, Sharwanand, Ramya Krishna. Released in: 2009."
Current,Surya Pratap,"Sushanth, Sneha Ullal",2009,Telugu,"Movie Title: Current. Directed by: Surya Pratap. Starring: Sushanth, Sneha Ullal. Released in: 2009."
Evaraina Epudaina,Marthand K. Shankar,"Varun Sandesh, Vimala Raman",2009,Telugu,"Movie Title: Evaraina Epudaina. Directed by: Marthand K. Shankar. Starring: Varun Sandesh, Vimala Raman. Released in: 2009."
