Title,Director,Cast,Year,Language,movie_info
Tungabhadra,Srinivas Gogineni,"Adith Arun, Dimple Chopade",2015,Telugu,"Movie Title: Tungabhadra. Directed by: Srinivas Gogineni. Starring: Adith Arun, Dimple Chopade. Released in: 2015."
Tej I Love You,A. Karunakaran,"Sai Dharam Tej, Anupama Parameswaran, Surekha Vani, Jayaprakash, Pavitra Lokesh",2018,Telugu,"Movie Title: Tej I Love You. Directed by: A. Karunakaran. Starring: Sai Dharam Tej, Anupama Parameswaran, Surekha Vani, Jayaprakash, Pavitra Lokesh. Released in: 2018."
RX 100,Ajay Bhupathi,"Karthikeya, Payal Rajput, Rao Ramesh, Ramki",2018,Telugu,"Movie Title: RX 100. Directed by: Ajay Bhupathi. Starring: Karthikeya, Payal Rajput, Rao Ramesh, Ramki. Released in: 2018."
Vijetha,Rakesh Shashii,"Kalyaan Dhev, Malavika Nair, Murali Sharma, Nassar",2018,Telugu,"Movie Title: Vijetha. Directed by: Rakesh Shashii. Starring: Kalyaan Dhev, Malavika Nair, Murali Sharma, Nassar. Released in: 2018."
Aatagadharaa Siva,Chandra Siddhartha,"Uday Shankar, Doddanna, Hyper Aadi, Chammak Chandra",2018,Telugu,"Movie Title: Aatagadharaa Siva. Directed by: Chandra Siddhartha. Starring: Uday Shankar, Doddanna, Hyper Aadi, Chammak Chandra. Released in: 2018."
Lover,Aneesh Krishna,"Raj Tarun, Riddhi Kumar",2018,Telugu,"Movie Title: Lover. Directed by: Aneesh Krishna. Starring: Raj Tarun, Riddhi Kumar. Released in: 2018."
W/O Ram,Vijay Yelakanti,"Lakshmi Manchu, Samrat Reddy",2018,Telugu,"Movie Title: W/O Ram. Directed by: Vijay Yelakanti. Starring: Lakshmi Manchu, Samrat Reddy. Released in: 2018."
Saakshyam,Sriwass,"Bellamkonda Sreenivas, Pooja Hegde, Sarath Kumar, Meena, Jagapathi Babu, Ravi Kishan, Ashutosh Rana",2018,Telugu,"Movie Title: Saakshyam. Directed by: Sriwass. Starring: Bellamkonda Sreenivas, Pooja Hegde, Sarath Kumar, Meena, Jagapathi Babu, Ravi Kishan, Ashutosh Rana. Released in: 2018."
Happy Wedding,Lakshman Karya,"Sumanth Ashwin, Niharika Konidela, Naresh, Murli Sharma",2018,Telugu,"Movie Title: Happy Wedding. Directed by: Lakshman Karya. Starring: Sumanth Ashwin, Niharika Konidela, Naresh, Murli Sharma. Released in: 2018."
Brand Babu,Prabhakar Podakandla,"Sumanth Shailendra, Eesha Rebba, Nalini, Murli Sharma",2018,Telugu,"Movie Title: Brand Babu. Directed by: Prabhakar Podakandla. Starring: Sumanth Shailendra, Eesha Rebba, Nalini, Murli Sharma. Released in: 2018."
Chi La Sow,Rahul Ravindran,"Sushanth, Ruhani Sharma, Vennela Kishore, Anu Haasan, Vidyullekha Raman",2018,Telugu,"Movie Title: Chi La Sow. Directed by: Rahul Ravindran. Starring: Sushanth, Ruhani Sharma, Vennela Kishore, Anu Haasan, Vidyullekha Raman. Released in: 2018."
Goodachari,Sashi Kiran Tikka,"Adivi Sesh, Sobhita Dhulipala, Prakash Raj, Jagapathi Babu, Madhu Shalini, Vennela Kishore",2018,Telugu,"Movie Title: Goodachari. Directed by: Sashi Kiran Tikka. Starring: Adivi Sesh, Sobhita Dhulipala, Prakash Raj, Jagapathi Babu, Madhu Shalini, Vennela Kishore. Released in: 2018."
Siva Kasipuram,Hareesh Vattikutti,"Rajesh Sri Chakravarthy, Priyanka Sharma, Chammak Chandra",2018,Telugu,"Movie Title: Siva Kasipuram. Directed by: Hareesh Vattikutti. Starring: Rajesh Sri Chakravarthy, Priyanka Sharma, Chammak Chandra. Released in: 2018."
Tharuvatha Evaru,G. Krishna Reddy Rajesh Koduru,"Manoj, Priyanka Sharma, Kamal Kamaraju",2018,Telugu,"Movie Title: Tharuvatha Evaru. Directed by: G. Krishna Reddy Rajesh Koduru. Starring: Manoj, Priyanka Sharma, Kamal Kamaraju. Released in: 2018."
Srinivasa Kalyanam,Satish Vegesna,"Nithiin, Raashi Khanna, Nandita Swetha, Prakash Raj",2018,Telugu,"Movie Title: Srinivasa Kalyanam. Directed by: Satish Vegesna. Starring: Nithiin, Raashi Khanna, Nandita Swetha, Prakash Raj. Released in: 2018."
Geetha Govindam,Parasuram,"Vijay Devarakonda, Rashmika Mandanna, Nagendra Babu",2018,Telugu,"Movie Title: Geetha Govindam. Directed by: Parasuram. Starring: Vijay Devarakonda, Rashmika Mandanna, Nagendra Babu. Released in: 2018."
Aatagallu,Paruchuri Murali,"Nara Rohit, Jagapathi Babu, Darshana Banik, Brahmanandam",2018,Telugu,"Movie Title: Aatagallu. Directed by: Paruchuri Murali. Starring: Nara Rohit, Jagapathi Babu, Darshana Banik, Brahmanandam. Released in: 2018."
Anthaku Minchi,Jhony,"Jai, Rashmi Gautam",2018,Telugu,"Movie Title: Anthaku Minchi. Directed by: Jhony. Starring: Jai, Rashmi Gautam. Released in: 2018."
Divya Mani,Giridhar Gopal,"Suresh Kamal, Vaishali Deepak",2018,Telugu,"Movie Title: Divya Mani. Directed by: Giridhar Gopal. Starring: Suresh Kamal, Vaishali Deepak. Released in: 2018."
Aghora,Rao Durgam,"Yuvaraj Rejeti, Nagendra Babu, Ponnambalam, Uttej, Jackee",2018,Telugu,"Movie Title: Aghora. Directed by: Rao Durgam. Starring: Yuvaraj Rejeti, Nagendra Babu, Ponnambalam, Uttej, Jackee. Released in: 2018."
Pantham,K. Chakravarthy,"Gopichand, Mehreen Pirzada, Sampath Raj, Mukesh Rishi, Pavitra Lokesh, Jaya Prakash Reddy, Ashish Vidyarthi, Sayaji Shinde",2018,Telugu,"Movie Title: Pantham. Directed by: K. Chakravarthy. Starring: Gopichand, Mehreen Pirzada, Sampath Raj, Mukesh Rishi, Pavitra Lokesh, Jaya Prakash Reddy, Ashish Vidyarthi, Sayaji Shinde. Released in: 2018."
Super Sketch,Ravi Chavali,"Narsing Makkala, Gary Tantony, Indrasena",2018,Telugu,"Movie Title: Super Sketch. Directed by: Ravi Chavali. Starring: Narsing Makkala, Gary Tantony, Indrasena. Released in: 2018."
Endaro Mahanubhavulu,Thallada Sai Krishna,"Thallada Sai Krishna, Anisha, Indu, Shalini, Tanikella Bharani",2018,Telugu,"Movie Title: Endaro Mahanubhavulu. Directed by: Thallada Sai Krishna. Starring: Thallada Sai Krishna, Anisha, Indu, Shalini, Tanikella Bharani. Released in: 2018."
Junction Lo Jayamalini,Narra Sivanageswara Rao,"Ravikanth, Kavya Kapoor",2018,Telugu,"Movie Title: Junction Lo Jayamalini. Directed by: Narra Sivanageswara Rao. Starring: Ravikanth, Kavya Kapoor. Released in: 2018."
Naa Peru Surya,Vakkantham Vamsi,"Allu Arjun, Arjun Sarja, Anu Emmanuel, R. Sarathkumar, Boman Irani, Thakur Anoop Singh, Sai Kumar, Pradeep Rawat, Harish Uthaman, Rao Ramesh, Nadhiya, Vennela Kishore",2018,Telugu,"Movie Title: Naa Peru Surya. Directed by: Vakkantham Vamsi. Starring: Allu Arjun, Arjun Sarja, Anu Emmanuel, R. Sarathkumar, Boman Irani, Thakur Anoop Singh, Sai Kumar, Pradeep Rawat, Harish Uthaman, Rao Ramesh, Nadhiya, Vennela Kishore. Released in: 2018."
Mahanati,Nag Ashwin,"Keerthi Suresh, Dulquer Salman, Samantha Akkineni, Vijay Devarakonda, Rajendra Prasad",2018,Telugu,"Movie Title: Mahanati. Directed by: Nag Ashwin. Starring: Keerthi Suresh, Dulquer Salman, Samantha Akkineni, Vijay Devarakonda, Rajendra Prasad. Released in: 2018."
Mehbooba,Puri Jagannadh,"Akash Puri, Neha Shetty, Vishnu Reddy, Sayaji Shinde",2018,Telugu,"Movie Title: Mehbooba. Directed by: Puri Jagannadh. Starring: Akash Puri, Neha Shetty, Vishnu Reddy, Sayaji Shinde. Released in: 2018."
Annadata Sukhibhava,R. Narayana Murthy,R. Narayana Murthy,2018,Telugu,Movie Title: Annadata Sukhibhava. Directed by: R. Narayana Murthy. Starring: R. Narayana Murthy. Released in: 2018.
Seenugadi Prema,R. K.,"Srinivasa Rao, Bindu Barbie",2018,Telugu,"Movie Title: Seenugadi Prema. Directed by: R. K.. Starring: Srinivasa Rao, Bindu Barbie. Released in: 2018."
Nela Ticket,Kalyan Krishna,"Ravi Teja, Malvika Sharma, Jagapathi Babu, Sampath Raj, Priyadarshi Pullikonda, Ali",2018,Telugu,"Movie Title: Nela Ticket. Directed by: Kalyan Krishna. Starring: Ravi Teja, Malvika Sharma, Jagapathi Babu, Sampath Raj, Priyadarshi Pullikonda, Ali. Released in: 2018."
Neevevaro,Hari Nath,"Aadhi Pinisetty, Taapsee Pannu, Ritika Singh, Vennela Kishore",2018,Telugu,"Movie Title: Neevevaro. Directed by: Hari Nath. Starring: Aadhi Pinisetty, Taapsee Pannu, Ritika Singh, Vennela Kishore. Released in: 2018."
Ammammagarillu,Sundar Surya,"Naga Shourya, Shamili, Sumithra, Rao Ramesh, Posani Krishna Murali",2018,Telugu,"Movie Title: Ammammagarillu. Directed by: Sundar Surya. Starring: Naga Shourya, Shamili, Sumithra, Rao Ramesh, Posani Krishna Murali. Released in: 2018."
Raju Gadu,Sanjana Reddy,"Raj Tarun, Amyra Dastur, Rajendra Prasad",2018,Telugu,"Movie Title: Raju Gadu. Directed by: Sanjana Reddy. Starring: Raj Tarun, Amyra Dastur, Rajendra Prasad. Released in: 2018."
Best Lovers,Nandi Venkat Reddy,"Sri Karan, Amrutha, Divya",2018,Telugu,"Movie Title: Best Lovers. Directed by: Nandi Venkat Reddy. Starring: Sri Karan, Amrutha, Divya. Released in: 2018."
Naa... Nuvve,Jayendra Panchapakesan,"Nandamuri Kalyan Ram, Tamannaah, Posani Krishna Murali, Tanikella Bharani, Surekha Vani",2018,Telugu,"Movie Title: Naa... Nuvve. Directed by: Jayendra Panchapakesan. Starring: Nandamuri Kalyan Ram, Tamannaah, Posani Krishna Murali, Tanikella Bharani, Surekha Vani. Released in: 2018."
Sammohanam,Mohan Krishna Indraganti,"Sudheer Babu, Aditi Rao Hydari",2018,Telugu,"Movie Title: Sammohanam. Directed by: Mohan Krishna Indraganti. Starring: Sudheer Babu, Aditi Rao Hydari. Released in: 2018."
Jamba Lakidi Pamba,J. B. Murali Krishna,"Srinivas Reddy, Siddhi Idnani, Posani Krishna Murali, Vennela Kishore, Raghu Babu",2018,Telugu,"Movie Title: Jamba Lakidi Pamba. Directed by: J. B. Murali Krishna. Starring: Srinivas Reddy, Siddhi Idnani, Posani Krishna Murali, Vennela Kishore, Raghu Babu. Released in: 2018."
Ee Nagariniki Emaindi,Tharun Bhascker Dhaassyam,"Vishwak Sen, Sai Sushanth, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose",2018,Telugu,"Movie Title: Ee Nagariniki Emaindi. Directed by: Tharun Bhascker Dhaassyam. Starring: Vishwak Sen, Sai Sushanth, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose. Released in: 2018."
Sanjeevani,Ravi Vide,"Anuraag Dev, Manoj Chandra, Swetaa Varma",2018,Telugu,"Movie Title: Sanjeevani. Directed by: Ravi Vide. Starring: Anuraag Dev, Manoj Chandra, Swetaa Varma. Released in: 2018."
Shambho Shankara,N. Sreedhar,"Shakalaka Shankar, Karunya Chowdhary, Ajay Ghosh, Ravi Prakash",2018,Telugu,"Movie Title: Shambho Shankara. Directed by: N. Sreedhar. Starring: Shakalaka Shankar, Karunya Chowdhary, Ajay Ghosh, Ravi Prakash. Released in: 2018."
Officer,Ram Gopal Varma,"Nagarjuna Akkineni, Myra Sareen, Sayaji Shinde",2018,Telugu,"Movie Title: Officer. Directed by: Ram Gopal Varma. Starring: Nagarjuna Akkineni, Myra Sareen, Sayaji Shinde. Released in: 2018."
Kanam,A. L. Vijay,"Sai Pallavi, Veronica Arora, Naga Shourya, Nizhalgal Ravi",2018,Telugu,"Movie Title: Kanam. Directed by: A. L. Vijay. Starring: Sai Pallavi, Veronica Arora, Naga Shourya, Nizhalgal Ravi. Released in: 2018."
Paper Boy,V. Jayashankar,"Santhosh Shoban, Riya Suman, Tanya Hope",2018,Telugu,"Movie Title: Paper Boy. Directed by: V. Jayashankar. Starring: Santhosh Shoban, Riya Suman, Tanya Hope. Released in: 2018."
Bangari Balaraju,Kotendra Dudyala,"Raghav, Karronya Katrynn, Ajay Ghosh, Rohini, Lekhana",2018,Telugu,"Movie Title: Bangari Balaraju. Directed by: Kotendra Dudyala. Starring: Raghav, Karronya Katrynn, Ajay Ghosh, Rohini, Lekhana. Released in: 2018."
Ratham,Chandrashekar Kanuri,"Geetanand, Chandni Bhagwanani",2018,Telugu,"Movie Title: Ratham. Directed by: Chandrashekar Kanuri. Starring: Geetanand, Chandni Bhagwanani. Released in: 2018."
Veera Bhoga Vasantha Rayalu,R. Indrasena,"Nara Rohith, Sudheer Babu, Shriya Saran, Sree Vishnu",2018,Telugu,"Movie Title: Veera Bhoga Vasantha Rayalu. Directed by: R. Indrasena. Starring: Nara Rohith, Sudheer Babu, Shriya Saran, Sree Vishnu. Released in: 2018."
Desa Dimmari,Nagesh Naradasi,"Tanish Alladi, Sherin, Suman, Mukul Dev, Fish Venkat",2018,Telugu,"Movie Title: Desa Dimmari. Directed by: Nagesh Naradasi. Starring: Tanish Alladi, Sherin, Suman, Mukul Dev, Fish Venkat. Released in: 2018."
Kathanayakulu,Habeeb Shariff,"Prayaga Bhasker, Raghavendra Rao Yadav",2018,Telugu,"Movie Title: Kathanayakulu. Directed by: Habeeb Shariff. Starring: Prayaga Bhasker, Raghavendra Rao Yadav. Released in: 2018."
Savyasachi,Chandoo Mondeti,"Naga Chaitanya, R. Madhavan, Nidhhi Agerwal, Bhumika Chawla",2018,Telugu,"Movie Title: Savyasachi. Directed by: Chandoo Mondeti. Starring: Naga Chaitanya, R. Madhavan, Nidhhi Agerwal, Bhumika Chawla. Released in: 2018."
Adhugo,Ravi Babu,"Ravi Babu, Nabha Natesh, Abhishek Varma, Bunty",2018,Telugu,"Movie Title: Adhugo. Directed by: Ravi Babu. Starring: Ravi Babu, Nabha Natesh, Abhishek Varma, Bunty. Released in: 2018."
Karma Kartha Kriya,Nagu Gawara,"Vasant Sameer, Sahar Afsha, Nutan Raj, Ravi Varma, Jayaprakash, Harsha Uppaluri",2018,Telugu,"Movie Title: Karma Kartha Kriya. Directed by: Nagu Gawara. Starring: Vasant Sameer, Sahar Afsha, Nutan Raj, Ravi Varma, Jayaprakash, Harsha Uppaluri. Released in: 2018."
Amar Akbar Anthony,Srinu Vaitla,"Ravi Teja, Ileana D'Cruz, Laya, Tarun Arora, Abhimanyu Singh, Vikramjeet Virk, Sunil, Vennela Kishore",2018,Telugu,"Movie Title: Amar Akbar Anthony. Directed by: Srinu Vaitla. Starring: Ravi Teja, Ileana D'Cruz, Laya, Tarun Arora, Abhimanyu Singh, Vikramjeet Virk, Sunil, Vennela Kishore. Released in: 2018."
Taxiwaala,Rahul Sankrityayan,"Vijay Devarakonda, Priyanka Jawlankar, Malavika Nair, Ravi Prakash",2018,Telugu,"Movie Title: Taxiwaala. Directed by: Rahul Sankrityayan. Starring: Vijay Devarakonda, Priyanka Jawlankar, Malavika Nair, Ravi Prakash. Released in: 2018."
Sarabha,N. Narasimha Rao,"Aakash Kumar, Mishti Chakraborty, Sayaji Shinde, Napolean, Nassar",2018,Telugu,"Movie Title: Sarabha. Directed by: N. Narasimha Rao. Starring: Aakash Kumar, Mishti Chakraborty, Sayaji Shinde, Napolean, Nassar. Released in: 2018."
24 Kisses,Ayodhya Kumar Krishnamsetty,"Adith Arun, Hebah Patel, Naresh, Rao Ramesh",2018,Telugu,"Movie Title: 24 Kisses. Directed by: Ayodhya Kumar Krishnamsetty. Starring: Adith Arun, Hebah Patel, Naresh, Rao Ramesh. Released in: 2018."
LAW,Gagan Gopal Mulka,"Kamal Kamaraju, Pooja Ramachandran, Mouryani, Manju Bhargavi",2018,Telugu,"Movie Title: LAW. Directed by: Gagan Gopal Mulka. Starring: Kamal Kamaraju, Pooja Ramachandran, Mouryani, Manju Bhargavi. Released in: 2018."
Rangu,Karthikeya,"Tanish, Priya Singh, Posani Krishna Murali, Raghu Karumanchi",2018,Telugu,"Movie Title: Rangu. Directed by: Karthikeya. Starring: Tanish, Priya Singh, Posani Krishna Murali, Raghu Karumanchi. Released in: 2018."
Rule,Paidi Ramesh,"Shivamani, Sona Patel",2018,Telugu,"Movie Title: Rule. Directed by: Paidi Ramesh. Starring: Shivamani, Sona Patel. Released in: 2018."
Sainyam,J. P. Sravan Kumar,"Vikranth Singh, Bhanu Prakash, Sanju Chowdhary",2018,Telugu,"Movie Title: Sainyam. Directed by: J. P. Sravan Kumar. Starring: Vikranth Singh, Bhanu Prakash, Sanju Chowdhary. Released in: 2018."
Student Power,Guna Apparao,"Venkat, Surya Kumari, Markandeya",2018,Telugu,"Movie Title: Student Power. Directed by: Guna Apparao. Starring: Venkat, Surya Kumari, Markandeya. Released in: 2018."
2 Friends,Srinivas GLB,"Suraj Gowda, Sonia Dey Sarkar, Farah Titina, Akhil Karthik",2018,Telugu,"Movie Title: 2 Friends. Directed by: Srinivas GLB. Starring: Suraj Gowda, Sonia Dey Sarkar, Farah Titina, Akhil Karthik. Released in: 2018."
Hello Guru Prema Kosame,Trinadha Rao Nakkina,"Ram Pothineni, Anupama Parameswaran, Pranitha Subhash, Prakash Raj",2018,Telugu,"Movie Title: Hello Guru Prema Kosame. Directed by: Trinadha Rao Nakkina. Starring: Ram Pothineni, Anupama Parameswaran, Pranitha Subhash, Prakash Raj. Released in: 2018."
Moodu Puvulu Aaru Kayalu,Ramaswamy,"Arjun Yagith, Bharath Bandaru, Sowmya Venugopal, Pavani",2018,Telugu,"Movie Title: Moodu Puvulu Aaru Kayalu. Directed by: Ramaswamy. Starring: Arjun Yagith, Bharath Bandaru, Sowmya Venugopal, Pavani. Released in: 2018."
Aravinda Sametha Veera Raghava,Trivikram Srinivas,"N. T. Rama Rao Jr., Pooja Hegde, Eesha Rebba, Jagapathi Babu, Sunil, Naveen Chandra, Supriya Pathak",2018,Telugu,"Movie Title: Aravinda Sametha Veera Raghava. Directed by: Trivikram Srinivas. Starring: N. T. Rama Rao Jr., Pooja Hegde, Eesha Rebba, Jagapathi Babu, Sunil, Naveen Chandra, Supriya Pathak. Released in: 2018."
Sameeram,Ravi Gundaboina,"Yashwanth, Amrita Acharya, Getup Srinu, Jabardasth Ramu",2018,Telugu,"Movie Title: Sameeram. Directed by: Ravi Gundaboina. Starring: Yashwanth, Amrita Acharya, Getup Srinu, Jabardasth Ramu. Released in: 2018."
Anu Vamsi Katha,Ramesh Mukkera,"Santhosh Raj, Neha Deshpande, Suman, Chammak Chandra",2018,Telugu,"Movie Title: Anu Vamsi Katha. Directed by: Ramesh Mukkera. Starring: Santhosh Raj, Neha Deshpande, Suman, Chammak Chandra. Released in: 2018."
C/o Kancharapalem,Venkatesh Maha,"Nithya Sree, Mohan Bhagath, Kesava. K, Radha Bessey, Vijaya Praveena Paruchuri, Subba Rao",2018,Telugu,"Movie Title: C/o Kancharapalem. Directed by: Venkatesh Maha. Starring: Nithya Sree, Mohan Bhagath, Kesava. K, Radha Bessey, Vijaya Praveena Paruchuri, Subba Rao. Released in: 2018."
Manu,Phanindra Narsetti,"Raja Gautham, Chandini Chowdhary, Aberaam Varma, Mohan Bhagath",2018,Telugu,"Movie Title: Manu. Directed by: Phanindra Narsetti. Starring: Raja Gautham, Chandini Chowdhary, Aberaam Varma, Mohan Bhagath. Released in: 2018."
Premaku Raincheck,Akella Peri Srinivas,"Abhilash Vadada, Priya Vadlamani, Monica Tavanam",2018,Telugu,"Movie Title: Premaku Raincheck. Directed by: Akella Peri Srinivas. Starring: Abhilash Vadada, Priya Vadlamani, Monica Tavanam. Released in: 2018."
Silly Fellows,Bhimaneni Srinivasa Rao,"Allari Naresh, Sunil, Chitra Shukla, Nandini Rai, Poorna",2018,Telugu,"Movie Title: Silly Fellows. Directed by: Bhimaneni Srinivasa Rao. Starring: Allari Naresh, Sunil, Chitra Shukla, Nandini Rai, Poorna. Released in: 2018."
Enduko Emo,Koti Vaddineni,"Nandu, Noel Sean, Punarnavi Bhupalam, Sudigali Sudheer",2018,Telugu,"Movie Title: Enduko Emo. Directed by: Koti Vaddineni. Starring: Nandu, Noel Sean, Punarnavi Bhupalam, Sudigali Sudheer. Released in: 2018."
Masakkali,Nabi Enugubala,"Sai Ronak, Shravya, Kashi Vishwanath, Sirisha",2018,Telugu,"Movie Title: Masakkali. Directed by: Nabi Enugubala. Starring: Sai Ronak, Shravya, Kashi Vishwanath, Sirisha. Released in: 2018."
@Nartanasala,Srinivas Chakravarthy,"Naga Shourya, Kashmira Pardeshi, Yamini Bhaskar, Jayaprakash Reddy, Ajay",2018,Telugu,"Movie Title: @Nartanasala. Directed by: Srinivas Chakravarthy. Starring: Naga Shourya, Kashmira Pardeshi, Yamini Bhaskar, Jayaprakash Reddy, Ajay. Released in: 2018."
Shailaja Reddy Alludu,Maruthi,"Naga Chaitanya, Anu Emmanuel, Ramya Krishna, Murali Sharma, Vennela Kishore, Naresh",2018,Telugu,"Movie Title: Shailaja Reddy Alludu. Directed by: Maruthi. Starring: Naga Chaitanya, Anu Emmanuel, Ramya Krishna, Murali Sharma, Vennela Kishore, Naresh. Released in: 2018."
Ee Maaya Peremito,Ramu Koppula,"Rahul Vijay, Kavya Thapar, Rajendra Prasad, Murali Sharma",2018,Telugu,"Movie Title: Ee Maaya Peremito. Directed by: Ramu Koppula. Starring: Rahul Vijay, Kavya Thapar, Rajendra Prasad, Murali Sharma. Released in: 2018."
Antharvedham,ch ravi kishore babu,"Tanikella Bharani, Amar, Santoshi, Posani Krishna Murali",2018,Telugu,"Movie Title: Antharvedham. Directed by: ch ravi kishore babu. Starring: Tanikella Bharani, Amar, Santoshi, Posani Krishna Murali. Released in: 2018."
Nannu Dochukunduvate,R. S. Naidu,"Sudheer Babu, Nabha Natesh, Nassar, Thulasi Shivamani",2018,Telugu,"Movie Title: Nannu Dochukunduvate. Directed by: R. S. Naidu. Starring: Sudheer Babu, Nabha Natesh, Nassar, Thulasi Shivamani. Released in: 2018."
Devadas,Sriram Adittya,"Nagarjuna, Nani, Rashmika Mandanna, Aakanksha Singh",2018,Telugu,"Movie Title: Devadas. Directed by: Sriram Adittya. Starring: Nagarjuna, Nani, Rashmika Mandanna, Aakanksha Singh. Released in: 2018."
Natakam,Kalyanji Gogana,"Ashish Gandhi, Ashima Narwal",2018,Telugu,"Movie Title: Natakam. Directed by: Kalyanji Gogana. Starring: Ashish Gandhi, Ashima Narwal. Released in: 2018."
Desamlo Dongalu Paddaru,Goutham Rajkumar,"Khayyum Ali, Taniahq Rajan, Ali, Pruthviraj, Lohit Kumar",2018,Telugu,"Movie Title: Desamlo Dongalu Paddaru. Directed by: Goutham Rajkumar. Starring: Khayyum Ali, Taniahq Rajan, Ali, Pruthviraj, Lohit Kumar. Released in: 2018."
Bhale Manchi Chowka Beram,Murali Krishna Mudidani,"Naveed, Mujtaba Ali Khan, Yamini Bhaskar, Kerintha Nookaraju",2018,Telugu,"Movie Title: Bhale Manchi Chowka Beram. Directed by: Murali Krishna Mudidani. Starring: Naveed, Mujtaba Ali Khan, Yamini Bhaskar, Kerintha Nookaraju. Released in: 2018."
NOTA,Anand Shankar,"Vijay Devarakonda, Mehreen Pirzada, Yashika Anand, Sathyaraj, Nassar",2018,Telugu,"Movie Title: NOTA. Directed by: Anand Shankar. Starring: Vijay Devarakonda, Mehreen Pirzada, Yashika Anand, Sathyaraj, Nassar. Released in: 2018."
U Turn,Pawan Kumar,"Samantha Akkineni, Aadhi Pinisetty, Rahul Ravindran, Bhoomika Chawla",2018,Telugu,"Movie Title: U Turn. Directed by: Pawan Kumar. Starring: Samantha Akkineni, Aadhi Pinisetty, Rahul Ravindran, Bhoomika Chawla. Released in: 2018."
Operation 2019,Karanam P. Babji,"Srikanth, Diksha Panth, Yagna Shetty",2018,Telugu,"Movie Title: Operation 2019. Directed by: Karanam P. Babji. Starring: Srikanth, Diksha Panth, Yagna Shetty. Released in: 2018."
Achari America Yatra,G. Nageswara Reddy,"Vishnu Manchu, Pragya Jaiswal, Brahmanandam, Pradeep Rawat, Thakur Anoop Singh, Kota Srinivasa Rao",2018,Telugu,"Movie Title: Achari America Yatra. Directed by: G. Nageswara Reddy. Starring: Vishnu Manchu, Pragya Jaiswal, Brahmanandam, Pradeep Rawat, Thakur Anoop Singh, Kota Srinivasa Rao. Released in: 2018."
Mercury,Karthik Subbaraj,"Prabhu Deva, Sananth Reddy, Remya Nambeesan, Deepak Paramesh, Shashank Purushotham, Anish Padmanabhan, Indhuja",2018,Telugu,"Movie Title: Mercury. Directed by: Karthik Subbaraj. Starring: Prabhu Deva, Sananth Reddy, Remya Nambeesan, Deepak Paramesh, Shashank Purushotham, Anish Padmanabhan, Indhuja. Released in: 2018."
Mental Madhilo,Vivek Athreya,"Sree Vishnu, Nivetha Pethuraj, Amrutha Srinivasan, Nara Rohit",2017,Telugu,"Movie Title: Mental Madhilo. Directed by: Vivek Athreya. Starring: Sree Vishnu, Nivetha Pethuraj, Amrutha Srinivasan, Nara Rohit. Released in: 2017."
Oxygen,A. M. Jothi Krishna,"Gopichand, Raashi Khanna, Anu Emmanuel, Jagapathi Babu, Shaam, Abhimanyu Singh",2017,Telugu,"Movie Title: Oxygen. Directed by: A. M. Jothi Krishna. Starring: Gopichand, Raashi Khanna, Anu Emmanuel, Jagapathi Babu, Shaam, Abhimanyu Singh. Released in: 2017."
Jawaan,B. V. S. Ravi,"Sai Dharam Tej, Mehreen Pirzada, Prasanna, Subbaraju",2017,Telugu,"Movie Title: Jawaan. Directed by: B. V. S. Ravi. Starring: Sai Dharam Tej, Mehreen Pirzada, Prasanna, Subbaraju. Released in: 2017."
Sapthagiri LLB,Charan Lakkaakula,"Saptagiri, Kashish Vohra, Saikumar Pudipeddi, Shakalaka Shankar",2017,Telugu,"Movie Title: Sapthagiri LLB. Directed by: Charan Lakkaakula. Starring: Saptagiri, Kashish Vohra, Saikumar Pudipeddi, Shakalaka Shankar. Released in: 2017."
B. Tech Babulu,Seenu Imandi,"Nandu, Srimukhi, Ali, Pavithra Lokesh, Naval Kishore",2017,Telugu,"Movie Title: B. Tech Babulu. Directed by: Seenu Imandi. Starring: Nandu, Srimukhi, Ali, Pavithra Lokesh, Naval Kishore. Released in: 2017."
Malli Raava,Gowtam Tinnanuri,"Sumanth, Aakanksha Singh, Kadambari Kiran, Annapoorna",2017,Telugu,"Movie Title: Malli Raava. Directed by: Gowtam Tinnanuri. Starring: Sumanth, Aakanksha Singh, Kadambari Kiran, Annapoorna. Released in: 2017."
Premika,Mahindra,"Tanish Alladi, Shruti Yagal",2017,Telugu,"Movie Title: Premika. Directed by: Mahindra. Starring: Tanish Alladi, Shruti Yagal. Released in: 2017."
Vanavillu,Lanka Prateek Prem Karan,"Lanka Prateek Prem Karan, Shravya Rao, Surekha Vani, Kasi Vishwanath",2017,Telugu,"Movie Title: Vanavillu. Directed by: Lanka Prateek Prem Karan. Starring: Lanka Prateek Prem Karan, Shravya Rao, Surekha Vani, Kasi Vishwanath. Released in: 2017."
Kiss Kiss Bang Bang,Karthik Medikonda,"Kiran, Harshada Kulkarni, Mahesh Kathi, Gayathri Gupta",2017,Telugu,"Movie Title: Kiss Kiss Bang Bang. Directed by: Karthik Medikonda. Starring: Kiran, Harshada Kulkarni, Mahesh Kathi, Gayathri Gupta. Released in: 2017."
